,formula,species_name,mass,charge,ionisation_potential,dipole_moment,N_atoms,block_s,block_p,block_d,block_f,group_IA,group_IB,group_IIA,group_IIB,group_IIIA,group_IIIB,group_IVA,group_IVB,group_VA,group_VB,group_VIA,group_VIB,group_VIIA,group_VIIB,group_VIIIA,group_VIIIB
0,H2,Hydrogen diatomic,2.016,0,15.425927,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,D2,Deuterium diatomic,4.028203556,0,,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,LiH,Lithium Hydride,7.948,0,,5.88,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Li2,Lithium diatomic,13.88,0,,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Be2,Beryllium diatomic,18.0243662,0,,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
5,BH,Boron monohydride,11.818,0,,1.27,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,CH,Methylidyne,13.019,0,10.64,1.46,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,C2,Carbon diatomic,24.022,0,11.41,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
8,NH+,imidogen cation,15.015,1,,1.477,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,CN,Cyano radical,26.018,0,14.17,1.45,2,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
10,N2,Nitrogen diatomic,28.014,0,15.581,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
11,N2,Nitrogen diatomic,28.014,0,15.581,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
12,OH,Hydroxyl radical,17.007,0,13.017,1.668,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,LiO,lithium oxide,22.939,0,,6.843,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,CO,Carbon monoxide,28.01,0,14.0142,0.112,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
15,CO,Carbon monoxide,28.01,0,14.0142,1.375,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
16,NO,Nitric oxide,30.006,0,9.26438,0.159,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
18,O2,Oxygen diatomic,31.998,0,12.0697,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
19,HF,Hydrogen fluoride,20.00640316,0,,1.827,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,LiF,lithium fluoride,25.93840316,0,,6.284,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21,BF,Boron monofluoride,29.80840316,0,,0.5,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
22,CF,Fluoromethylidyne,31.00940316,0,9.4,0.645,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
23,NF,nitrogen fluoride,33.00540316,0,12.1,0.37,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
24,FO,Oxygen monofluoride,34.99740316,0,12.78,0.004,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
25,F2,Fluorine diatomic,37.99680633,0,15.697,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
26,NaH,sodium hydride,23.99776928,0,,6.4,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,NaLi,lithium sodium,29.92976928,0,,0.46,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Na2,Sodium diatomic,45.97953856,0,,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,NaF,sodium fluoride,41.98817244,0,,8.123,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30,Mg2,Magnesium diatomic,48.61,0,,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Al2,Aluminum diatomic,53.9630768,0,,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
32,AlF,Aluminum monofluoride,45.97994156,0,,1.53,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
33,Si2,Silicon diatomic,56.17,0,,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
34,SiO,Silicon monoxide,44.084,0,11.3,3.088,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
35,P2,Phosphorus diatomic,61.947524,0,,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
36,PN,Phosphorus mononitride,44.980762,0,11.88,2.751,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
37,PO,Phosphorus monoxide,46.972762,0,8.39,1.88,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
